timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705668248636,1830,HTTP Request,200,OK,Assignment_no3 9-1,text,true,,244964,252,2,5,https://www.makemytrip.com:443/homestays/,14,0,0
1705668248636,14,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-1,text,true,,348,122,2,5,https://makemytrip.com/homestays/,14,0,0
1705668248650,1816,HTTP Request-1,200,OK,Assignment_no3 9-1,text,true,,244616,130,2,5,https://www.makemytrip.com:443/homestays/,1789,0,0
1705668248636,2241,HTTP Request,200,OK,Assignment_no3 9-2,text,true,,231153,262,1,4,https://www.makemytrip.com:443/holidays-india/,14,0,0
1705668248636,14,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-2,text,true,,353,127,1,4,https://makemytrip.com/holidays-india/,14,0,0
1705668248650,2227,HTTP Request-1,200,OK,Assignment_no3 9-2,text,true,,230800,135,1,4,https://www.makemytrip.com:443/holidays-india/,2193,0,0
1705668252053,1844,HTTP Request,200,OK,Assignment_2 8-3,text,true,,244964,252,4,6,https://www.makemytrip.com:443/homestays/,16,0,0
1705668252053,16,HTTP Request-0,301,Moved Permanently,Assignment_2 8-3,text,true,,348,122,4,6,https://makemytrip.com/homestays/,16,0,0
1705668252069,1828,HTTP Request-1,200,OK,Assignment_2 8-3,text,true,,244616,130,4,6,https://www.makemytrip.com:443/homestays/,1812,0,0
1705668252054,2024,HTTP Request,200,OK,Assignment_2 8-4,text,true,,237633,246,4,6,https://www.makemytrip.com:443/hotels/,80,0,65
1705668252054,80,HTTP Request-0,301,Moved Permanently,Assignment_2 8-4,text,true,,345,119,4,6,https://makemytrip.com/hotels/,80,0,65
1705668252134,1944,HTTP Request-1,200,OK,Assignment_2 8-4,text,true,,237288,127,4,6,https://www.makemytrip.com:443/hotels/,1852,0,47
1705668252053,2335,HTTP Request,200,OK,Assignment_2 8-2,text,true,,231153,262,4,6,https://www.makemytrip.com:443/holidays-india/,15,0,0
1705668252053,15,HTTP Request-0,301,Moved Permanently,Assignment_2 8-2,text,true,,353,127,4,6,https://makemytrip.com/holidays-india/,15,0,0
1705668252068,2320,HTTP Request-1,200,OK,Assignment_2 8-2,text,true,,230800,135,4,6,https://www.makemytrip.com:443/holidays-india/,2290,0,0
1705668255893,1865,HTTP Request,200,OK,Assignment_no3 9-2,text,true,,237658,246,2,5,https://www.makemytrip.com:443/hotels/,20,0,0
1705668255893,20,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-2,text,true,,345,119,2,5,https://makemytrip.com/hotels/,20,0,0
1705668255914,1844,HTTP Request-1,200,OK,Assignment_no3 9-2,text,true,,237313,127,2,5,https://www.makemytrip.com:443/hotels/,1804,0,0
1705668255894,1960,HTTP Request,200,OK,Assignment_no3 9-3,text,true,,244928,252,1,4,https://www.makemytrip.com:443/homestays/,83,0,70
1705668255894,83,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-3,text,true,,348,122,1,4,https://makemytrip.com/homestays/,83,0,70
1705668255978,1876,HTTP Request-1,200,OK,Assignment_no3 9-3,text,true,,244580,130,1,4,https://www.makemytrip.com:443/homestays/,1819,0,59
